ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      302.977     -8.98728      35.1848     -86.0306     0.544945     -2.42106
      227.472      21.4792      20.7341     -158.669     -2.96202     -1.79512
      235.851     -59.2490      14.7226      194.935     -2.28777      1.79434
      81.5376      45.7640      36.0318      123.642     0.684278     -1.36124
      318.088      16.5792      9.47931     -289.492     0.536399     -4.38756
      109.116     -61.3775      22.0146      216.411    0.0638706      1.03919
      25.4350     -63.3457      27.7520     -33.7498      1.83287     -2.28326
      56.8305     -14.2024      99.2040      100.934     0.261388    -0.450411
      113.923      19.1569      18.0638      250.539     -1.70862     -2.16724
      18.6342     -24.5590      19.1856      14.2981     0.603769     -2.54344
      88.9232      18.2363      29.7431      32.1717      1.22318    -0.685906
      50.5396      20.2008      24.3251     -151.585    -0.214508     -1.86092
      281.084     -38.5778      51.8097      125.369    -0.978031     -1.10869
      47.5760      52.6563      59.8537     -195.332     0.889044    -0.194679
      14.2328     -29.2999      23.2228      68.5767     0.441267     -1.27450
      20.9039     -17.4156      22.1535      135.537      1.66551     -2.32292
      2.10750      55.9519      9.84412     -261.573      1.06103     -2.92190
      95.2299      18.7139      12.0788      264.232      2.06129     -5.00078
      310.632     -29.1045      19.1711      22.5886     -2.03457     -3.11867
      17.4068      63.7177      11.2192     -239.178      2.15504    -0.667850
      299.583     -39.9775      100.421     -44.9276    -0.213291    -0.331397
      174.706     -7.57368      26.9218      65.3715    0.0552140    -0.886691
      278.136      37.5178      39.6138     -135.062    -0.955187    -0.624172
      72.8879    0.0152979      21.8383      50.6223     0.609998     -2.74517
      103.489      40.6543      20.4877      158.990   -0.0322893     -3.12128
      165.985      14.1201      21.4039      107.308    -0.929981     -3.36411
      320.616     -33.4406      49.6068     -196.031     0.188746     -1.49457
      31.1731     -51.3417      81.1513      135.100     0.396393    -0.699390
      25.0457     -14.4996      13.6098     -107.861      3.97790     -3.51697
      84.2497      42.2824      21.6863      70.6631     0.603320     -1.15757
      83.1840      59.6255      12.7657     -96.3698    -0.233438     -1.98682
      97.2814     -45.2498      13.5595      184.210      2.63389     -1.87875
      17.7351      26.4067      17.7227     -305.544      2.79428     -1.59114
      9.12425      58.6801      58.3465     -174.292     0.250532    -0.141392
      253.546      5.51150      18.1196     -1.66105     -1.14764     -1.25588
      349.904     -34.8140      53.0143     -67.4776  -0.00429360    -0.765159
      30.7602      47.1894      38.1727     -100.887     0.712744     0.275780
      172.234      18.7888      59.0717      100.437    -0.422369    -0.672057
      43.4888      26.7839      29.8194     -192.089      1.43115    -0.797198
      163.116      39.3733      92.5117     -76.1732     0.167238    -0.673339
      62.8222      60.5959      26.3309     -231.360     0.698857     -1.06610
      236.070    -0.939670      28.1660     -67.7542    -0.839889     -1.97915
      206.202      44.2614      56.9731     -99.5085    -0.318518    -0.952586
      31.9774     -28.4719      92.1678      136.335     0.357922    -0.336907
      38.1736     -20.2696      14.2725      73.0131      2.92681     -2.61364
      79.9976      27.1590      13.4345      104.731      6.10668     -4.86148
      26.1304      11.4810      18.3559     -100.979    -0.934249     -1.29650
      44.0474      75.1616      37.1843     -208.335     0.812572    -0.165125
      190.562      15.3813      15.6834     -14.8257    -0.975060     -3.43020
      40.8390      14.2774      10.8364      21.1273      2.04336     -7.77014
      316.932      5.26855      86.2517      23.4386   -0.0922119    -0.887354
      93.5883      49.5562      39.6453     -138.552     0.574029     -1.02622
      325.322     -44.2749      11.8197      154.455    -0.592703     -3.33029
      52.7385     -6.47900      30.6237      155.550     0.785525    -0.697239
      286.105      1.43605      53.8931     -301.649    -0.226515     -1.48209
      298.035      69.6625      43.4945     -267.555    -0.580774     0.804954
      328.830      38.3768      57.6833     -122.176     0.359225     0.237856
      296.226     -33.6838      33.8564      73.4043    -0.926745     -1.48048
      10.1554      26.4985      18.0306     -240.247   -0.0724567    -0.946290
      291.238     -37.1904      4.78865      61.1705     -7.76695     -11.0225
      126.646      13.8032      18.0428      105.032     -1.61583    -0.118410
      79.1061      51.7232      14.6680     -143.428      2.97862     -3.72998
      262.039      45.8649      28.9131     -119.631     -1.71758     0.341383
      137.759      3.01851      24.1601      246.785    -0.657672     -1.16406
      342.662     -62.7675      11.0130     -77.5635    -0.376940     -3.06379
      130.095      73.0841      18.5943      37.2804     0.764106    -0.670466
      292.845     -10.7303      45.3345     -171.107    -0.632173     -1.24251
      35.6020     -47.3682      21.7936      36.3131      2.24320    -0.664533
      63.7715     -60.9722      12.4611      339.410      3.99698    -0.903673
      177.823     -19.8956      14.3286      84.8033     -1.23048     -1.40349
      336.778      21.5409      19.6622     -298.242     0.353925     -2.10950
      352.214     -7.82345      14.7222     -64.3714     0.202212    -0.290497
      344.926      13.5143      6.55628     -148.965      1.21349     -5.10454
      300.289     -44.6167      21.0202      80.5000    -0.970567     -1.36280
      232.354      60.5016      44.9049     -262.794     0.919468    -0.467966
      265.730     -30.6126      25.3680    -0.390922    -0.779690     -1.35886
      339.482     -15.0526      14.3671     -106.649     0.251547     -3.49128
      196.891     -6.58780      72.3489      57.4720    -0.703881    -0.336909
      302.939      2.36730      98.9587     -194.410    -0.311009    -0.188644
      37.5398      38.8174      47.8331     -504.599     0.654071    -0.173011
      307.827     -41.1692      9.30069      73.6278     -1.38443     -3.72129
      6.40517     -64.3915      39.4693      40.9647    -0.692380    -0.635374
      154.879      49.3098      41.3477      7.07813     0.468639    -0.595713
      18.9835      30.2928      38.1038     -151.061     0.145232     -1.40327
      170.194     -57.0212      28.1579      360.510     0.288094      1.09681
      14.2959      72.1993      29.6268     -258.765     0.977671     0.907745
      24.7252     -11.7049      5.83463     -33.1284      2.25357     -6.70640
      153.234     -31.6081      18.7263      142.788  -0.00785803    -0.320456
      319.303     -41.5165      10.8836      8.32732      4.79751     -5.76239
      48.7493      17.7504      26.6142     -66.8812      1.44552    -0.979817
      158.802     -87.9096      69.1688      226.842    -0.320573     0.642875
      172.257      16.1382      18.2534      41.2697    -0.774239     -2.07599
      340.069     -20.1291      45.8171     -65.0052    -0.143026     -1.11787
      6.35684      34.5961      20.1607     -188.338      1.20359     -1.24140
      267.849     -70.3014      39.8688      113.785     0.335610     0.460332
      240.147     -32.7201      5.89992     -113.044     -3.15280     -9.15261
      166.198     -14.6544      17.0464      155.756     -2.13255      1.01835
      305.193      43.2604      17.2759     -187.534    -0.450950      1.10130
      60.2476     0.321696      18.6020      57.4784      3.22144     -2.27463
      92.7529     -5.19298      94.0399      318.510  -0.00245605    -0.262079
      69.3973      35.4976      49.9813      61.7595    -0.107201     -1.29879
      71.4514      44.4715      51.7659      15.3355      1.31060     -1.62454
      183.981     -10.2933      44.4185      246.408    -0.391105    0.0234470
      141.184      1.48814      11.9024      126.951     -2.48723     -3.85681
      82.0042     -41.8655      35.9905      141.463      1.13761    -0.417688
      24.9843      28.7830      24.2907     -103.619      1.17777     -1.57351
      13.3385      54.1638      55.6757     -292.641     0.767274    -0.206241
      116.498      43.3641      65.1382      51.2230    0.0433310    -0.281053
      355.004      47.9073      18.3529     -230.717     0.564054    0.0452701
      141.996     -46.2131      27.1095      241.922     0.936559    -0.229802
      99.4676      14.0973      72.4836      38.1241     0.438019    -0.384658
      261.605     -66.0712      21.1449      163.619     -2.07315     -2.85301
      5.42744     -9.93005      10.2675     -52.9742      2.83745     -3.05348
      117.425      21.4357      27.5701      113.488     0.139765    -0.676060
      117.058      7.88652      42.8719      278.834    -0.513976    -0.657848
      147.454      11.5014      17.5352      152.989     -1.34000     -2.14387
      246.631     -14.6494      74.2569     -108.391    -0.901299    -0.393664
      181.303     -61.7225      42.5145      116.783     -1.45601    -0.699284
      251.136     -11.7231      24.5861      104.884     -1.38614     -1.31336
      159.407     -52.3506      43.5689      313.400     -1.16050   -0.0447080
      262.826     -41.1614      22.6909      89.3425    -0.587543    -0.846826
      215.290      78.8795      44.6849     -271.065    -0.462712     0.593135
      187.236     -26.8922      16.6424      90.4869     -2.65248     -2.09915
      303.851     -53.3111      21.3381     -15.2672     0.257375     -2.07656
      130.541     -65.9118      34.8411      370.756   -0.0469508     0.526061
      325.873     -34.1155      19.6364      56.8762     -1.50837     -2.27076
      233.968     -34.6123      9.19911      134.683     -4.13524     -5.55386
