# x[kpc] y[kpc] z[kpc] v_x[km/s] v_y[km/s] v_z[km/s]
 -17.2308   -8.6573   12.3872  -39.0077   -2.9334   23.3675
  60.0476    1.2276   29.0302   -7.2420  220.8273 -226.5565
  11.3217  -37.7133    0.4525  -26.4221   79.2566 -153.2448
  14.4704    2.5559    8.9408  129.7298   57.3771   43.6414
   1.5948  -42.2415    4.0268  185.7203  -42.6924   85.5324
  13.8419   -4.6706   -1.6467   82.0469  172.5987  -98.9859
 -24.6910   31.4910   27.1636   93.6352  137.2874 -279.0621
  -2.1854  -12.0669    9.7209  136.7996  108.5843  -70.6150
   8.7983   -4.5628  -11.8955  -43.5973   28.9619   33.9271
  -1.8702  -33.1334   -8.6182   17.4393 -146.8112  -29.4798
   4.2081    2.4799  -14.9057  -16.6711   19.0734 -126.2049
  -0.1710   -3.3802    2.6949  208.5284  143.4167 -242.4518
 -11.6899   49.9679  -38.5181   70.5211    3.5076   88.5153
 -44.9627  -17.8307  -13.2975  273.1019  163.2437  -58.5848
 -11.8112   -4.8350   14.5258   59.2082  131.1879  -77.7010
  -4.8054    0.7164   25.8749  158.2957 -139.7129 -133.3636
 -18.2988   26.0314   -3.1862  240.0621 -142.1953   55.1679
 -43.6527   43.0646  -27.9022   53.7349  198.3616  -28.0822
  -6.9490    0.8510   34.3678  204.4115  107.9621  -87.3480
 -51.0588   11.0937  -19.8293  181.8011   -1.5553   18.1674
  13.4296    7.4652   14.4177   79.0211  208.5914 -117.5372
   6.2708  -11.2276   -2.4433  -28.3880  -84.9784  -26.6144
 -29.9386   13.5870   -6.2518  114.2759   42.1472 -139.4524
 -16.6650    7.7855   -9.9425  161.1673   21.3491  -51.6316
 -18.8173  -48.5479   -1.3226 -105.8884 -166.8829    4.2245
 -42.7713   41.7829   15.3144   90.0239  102.4733  -77.5906
  -7.0591   33.5979  -37.4290   74.9034   11.2361  213.3903
   5.1326   -3.3609   -2.1146 -122.0007  -47.3340 -126.8000
 -31.9774  -71.2895  -59.1887   62.2478  285.6904  -13.8254
 -28.2918   -6.8427   -0.9120  -14.2777   95.1443  -54.9984
 -35.6974  -17.7983   27.1812  143.9696  -75.6735 -123.6835
  -3.2404   -6.3988  -18.5430  141.9960   24.5632   64.6389
 -56.4951   20.3683   -2.6905   32.0579  -12.7669  -63.2460
  -8.4491    3.2688  -22.0545  -12.1263  149.6296  -77.8985
  -1.1442  -15.0622  -13.2533   22.2770  159.8274 -178.5914
  -3.8658    4.2697    4.4568   35.7444   67.3075  -67.4995
 -18.8892   16.5793  -55.3589   95.0667   46.8815    5.5328
   6.0686   18.7069  -19.2395    3.1634   53.5846  125.7370
 -21.4085   15.9749    1.9275  240.4188   66.9428 -153.6268
  -7.2826  -19.4330   10.9683   61.1832  155.2187  -67.2820
  10.7054    0.9023    5.7138  -27.2875   73.8176 -126.7590
  16.4149    2.8194  -10.9574  -87.9417   96.8374   30.7165
  22.5007    1.5746  -21.1328  -27.0353  -25.4312  155.1364
 -11.3728    6.2302   -0.7063  -48.5011 -170.6165 -164.5739
