ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      150.702     -18.7626      25.2155      126.607    -0.607256     -1.00104
      298.377     -19.3161      83.3438      56.7919    -0.560991    -0.949884
      98.0698     -7.27880      14.2389      76.3342      4.27015     -4.10633
      62.4571     -79.2268      13.7447      228.732      1.81103      1.54131
      131.288      16.6324      9.05282     -72.8027     -2.36225     -4.75887
      247.856      21.8743      24.9219     -185.354     -1.58419     -1.46000
      325.620      32.5930      23.5667     -197.088    -0.518490     -1.25324
      112.071     -16.3143      39.3161      5.04524    0.0862246     -1.78938
      192.733     0.577864      36.9823      98.8301     -1.88675    -0.567378
      276.670     -45.6029      59.6271      39.4168     0.156425    -0.693996
      283.235     -5.53834      16.9216     -280.428     -1.22575    -0.310569
      153.397     -16.8827      15.0531      231.909      2.49974    -0.492076
      161.524     -53.7191      16.5792      213.505     -2.21468     -3.57165
      329.416      23.5640      42.7611     -171.906     0.464420     -1.63037
      330.251     -2.43526      14.9494     -277.874     -1.69407     -3.64383
      121.819      44.1095      13.3971     -131.623      1.83662     -1.56420
      74.5407      6.35517      19.7421      14.1126      2.99657     -2.14463
      35.7464     0.681926      33.7817      83.7485      1.99489    -0.424342
      270.618     -2.99790      72.3305      54.8388    -0.439057     -1.45673
      60.8368      69.8627      20.9615     -229.021     0.794911    -0.262952
      116.816      17.5372      22.2001     -56.0658     0.248749     -2.39396
      218.838      15.5904      21.9650      5.14640     -2.57273    -0.695878
      253.387     -13.8494      19.2460      6.88113     -2.14502     -1.09558
      125.049     -34.1093      25.3684      186.115     0.831614      1.01444
      208.713      65.4330      41.5255     -90.7023    -0.522571    -0.835902
      109.593     0.686467      68.0441      286.655    -0.653879    -0.337635
      101.087      25.0058      36.4077      101.641    0.0984754     -1.92572
      349.029      22.2301      14.1920     -103.516      1.65257     -2.61676
      263.280     -49.1104      18.3309      23.1270     -3.66691     -2.55957
      329.296     -35.9646      38.5470     -5.11929     0.335903     -1.84062
      40.4544      7.57141      20.3438     -134.243     0.628863     -2.17628
      3.32315     -23.7741      13.3269      67.7976      2.41907    -0.455672
      244.249     -7.39126      7.51600     -182.542     -3.08036     -7.83773
      321.468      46.7910      18.4020     -140.499     0.184450      1.12465
      90.3927      36.9880      49.7730      117.939     0.575985     -1.09156
      152.162     -28.6353      40.6558      221.586     0.227304    -0.812705
      29.7586     -35.5191      20.9543      24.5144     0.389778    -0.223776
      324.452      24.4787      12.4482     -363.210      1.57736     -3.93841
      86.2655     -13.1133      17.3955      117.531     0.199979     -1.77205
      267.798      1.73458      23.0961     -131.152    -0.350555     -2.59091
      277.531     -57.8126      39.7844      32.5219    -0.461781    -0.632457
